Essential DSA Interview Roadmap (Subcases Separated)
| Stage                      | Topic                       | Subcase                                                                 | Confidence Milestone (🎯)                        |
|                            | Graphs                      | Shortest path (Dijkstra, BFS for unweighted)                            |                                                  |
|                            | Graphs                      | Topological sort                                                        |                                                  |
| **4: Algorithms**          | Searching & Sorting         | Binary search                                                           | Can derive binary search variations under stress |
|                            | Searching & Sorting         | Binary search variations (first/last occurrence, rotated array)         |                                                  |
|                            | Searching & Sorting         | Merge sort                                                              |                                                  |
|                            | Searching & Sorting         | Quick sort                                                              |                                                  |
|                            | Searching & Sorting         | Counting sort                                                           |                                                  |
|                            | Searching & Sorting         | Radix sort                                                              |                                                  |
|                            | Hashing                     | Hash table concept & collision                                          | Thinks of hashmap as first solution              |
|                            | Hashing                     | Frequency maps                                                          |                                                  |
|                            | Hashing                     | Set lookups                                                             |                                                  |
|                            | Hashing                     | Subarray sum problems                                                   |                                                  |
|                            | Hashing                     | 2-sum / 3-sum                                                           |                                                  |
|                            | Hashing                     | Group anagrams                                                          |                                                  |
|                            | Backtracking                | N-Queens                                                                | Can trace recursion tree and prune               |
|                            | Backtracking                | Rat in a maze                                                           |                                                  |
|                            | Backtracking                | Sudoku solver                                                           |                                                  |
|                            | Backtracking                | Subsets & permutations                                                  |                                                  |
|                            | Dynamic Programming         | Fibonacci DP                                                            | Can break down problems into “choice + state”    |
|                            | Dynamic Programming         | 0/1 Knapsack                                                            |                                                  |
|                            | Dynamic Programming         | Coin change                                                             |                                                  |
|                            | Dynamic Programming         | Longest common subsequence (LCS)                                        |                                                  |
|                            | Dynamic Programming         | Longest increasing subsequence (LIS)                                    |                                                  |
|                            | Dynamic Programming         | Matrix DP (unique paths, min path sum)                                  |                                                  |
| **5: Advanced / Optional** | Tries                       | Insert                                                                  | Understands prefix tree                          |
|                            | Tries                       | Search                                                                  |                                                  |
|                            | Tries                       | Auto-complete / prefix search                                           |                                                  |
|                            | Advanced Graphs             | Minimum spanning tree (Kruskal/Prim)                                    | Ready for harder graph Qs                        |
|                            | Advanced Graphs             | Bellman-Ford                                                            |                                                  |
|                            | Advanced Graphs             | Floyd-Warshall                                                          |                                                  |
|                            | Advanced Graphs             | Union-Find (DSU, cycle detect)                                          |                                                  |
|                            | Segment Tree / Fenwick Tree | Range sum queries                                                       | Can explain usage                                |
|                            | Segment Tree / Fenwick Tree | Range min/max queries                                                   |                                                  |
|                            | Segment Tree / Fenwick Tree | Lazy propagation (concept)                                              |                                                  |
